Ulasan;Rating
Pengiriman instant tp dikirim H+1, produk sesuai, sebelumnya beli gak dapat bonus, yg skrg ada bonus speaker portable JBL. Tks;5
"barang oke, fast respon
packing aman
cuma garansi dari dell sudah habis.. jadi diganti garansi dari distributor.. dan semoga tidak mengecewakan";5
mengecewakan, lebih baik mikir lagi sebelum belanja di sini;1
Barang bagus banget, finishing premium. setup sendiri dari nyala pertama sampai aktivasi windows 11 dan office 2021 lancar jaya. packaging aman. semoga awet buat kuliah a... ;5
suka...mkasih;5
Barang jozz;5
respon super cepat ramah, produk dijamin original;5
Sesuai pesanan, respon cepat, so pasti original dari toko official;5
"Pengalaman baru dan jadi pelajaran berharga, mungkin untuk teman teman yg akan membeli laptop
Lihat jenis penyimpanan nya apakah HDD atau SSD, 
Memang lebih murah untuk L... ";3
Packing, bagus dan aman...paket sampai dengan selamat. Alhamdulillah sesuai pesanan.;5
Tidak ada bonus headphone. Produk sesuai, dan bergaransi. Pengiriman antri. Tks;5
cepat tepat sesuai dengan pesanan;5
Kurang puas sebetulnya, karena Bonus seharusnya dapet speaker JBL, tp dapetnya tas laptop. Karena saya sudah punya tas laptop.;5
lemot parah, laptop masih baru belum di instal aplikasi apapun udah disarankan untuk upgrade ram.;1
kwalitas barang ok, kekurangannya dari dulu sampai sekarang : gak ada opsi pengiriman instant atau same day.;5
barang original, adminnya cihuy, responsifffff;5
Puas belanja disini, product juga ok bangettt, ya walaupun ada kendala di pengiriman tapi cepet di tanggapi, thank uuu ..;5
laptopnya sesuai deskripsi worth it, bagus dipakai buat kuliah terimakasih.;5
akhirnya sampai jg walopun sedikit terlambat, penjualnya ramah dan responsif, semoga awet dan bermanfaat selalu, terimakasih toko pedia.;5
Seller Dell responsif untuk nanya2 termasuk asuransi, spek, hingga pengiriman. Trus seller cepat kirim laptopnya dengan packing yg aman. Laptop sampai rumah dengan selama... ;5
alhamdulillah akhirnya brg nyampe stelah 6 hri nunggu. laptopnya bgus sesuai deskripsi;5
pelayanan tokonya okke, pengirimannya okke dan aman, produknya bagus sesuai dengan harga. untuk yang mau beli laptopnya saat diskonan jangan lupa konfirmasi masa garansi... ;4
barang bagus, sdh dicoba, sesuai dg spek penjual;5
barang sesuai deskripsi, desain ramping khas dell, udah dpt backpack keren ditambah speaker wireless JBL !, padahal di situs cm tertulis dpt win10+OHS+backpack 😆😆😆;5
"Laptopnya Bagus, dengan harga yg kompetitif dan speck yg menurut saya sudah sangat baik untuk harga segitu. dapat free tas dan earphone. responnya juga cepat dan baik.
po... ";5
mantp bagus dengan harga yg pas;5
Luar biasa... Wuzzzzzz;5
"sudah sampai dan sudah running semoga awet & tidak ada masalah d kemudian hari
cuman kemarin ada masalah d pengiriman yg tiba2 stocknya habis";4
